timestamp,event,details
2025-11-23 14:40:23,BOT_START,"Key: ...41f9a, Reason: Normal operation (quota: 3.8%)"
2025-11-23 15:17:49,BOT_FINISH,Code: 0
2025-11-23 15:17:51,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 15:29:49,SCHEDULER_STOPPED,User interrupted
2025-11-23 15:30:01,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_nba"", ""americanfootball_ncaaf"", ""basketball_ncaab"", ""americanfootball_nfl"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 15:34:52,NO_NEXT_EVENT,Sleeping 12 min
2025-11-23 15:51:41,RUN_NOW,Event at 2025-11-23 23:00:00+00:00
2025-11-23 15:51:43,BOT_START,"Key: ...41f9a, Reason: Normal operation (quota: 4.5%)"
2025-11-23 16:28:47,BOT_FINISH,Code: 0
2025-11-23 16:28:49,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 16:48:39,RUN_NOW,Event at 2025-11-23 23:55:00+00:00
2025-11-23 16:48:40,BOT_START,"Key: ...4172a, Reason: Normal operation (quota: 4.9%)"
2025-11-23 17:09:57,BOT_FINISH,Code: 0
2025-11-23 17:09:59,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 17:26:37,RUN_NOW,Event at 2025-11-24 00:30:47+00:00
2025-11-23 17:26:39,BOT_START,"Key: ...41f9a, Reason: Normal operation (quota: 5.1%)"
2025-11-23 17:39:31,BOT_FINISH,Code: 0
2025-11-23 17:39:33,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 17:56:10,RUN_NOW,Event at 2025-11-24 01:00:00+00:00
2025-11-23 17:56:11,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 5.4%)"
2025-11-23 18:08:51,BOT_FINISH,Code: 0
2025-11-23 18:08:53,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 18:25:31,SCHEDULED_SLEEP,Bot will run in 14.5 min
2025-11-23 18:40:01,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 5.7%)"
2025-11-23 18:52:53,BOT_FINISH,Code: 0
2025-11-23 18:52:56,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 19:09:34,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 19:13:34,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 19:17:34,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 19:23:10,SCHEDULED_SLEEP,Bot will run in 1.8 min
2025-11-23 19:25:01,BOT_START,"Key: ...4172a, Reason: Normal operation (quota: 6.2%)"
2025-11-23 19:37:48,BOT_FINISH,Code: 0
2025-11-23 19:37:50,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 19:54:28,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:00:05,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:05:42,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:11:19,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:16:56,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:22:32,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:28:10,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:33:47,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:39:24,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 20:45:01,NO_NEXT_EVENT,Sleeping 4 min
